License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2167271,MICRO BREWER,101,MI,Albany,2,RENSSELAER,BROWNS BREWING COMPANY LLC,BROWN'S TAPROOM,50 FACTORY HILL RD,,HOOSICK FALLS,NY,12090,912605,2/14/2011,2/1/2019,1/31/2020,42.9262399,-73.34411856,"(42.9262399, -73.34411856)"
1309171,FARM BREWER,106,FD,New York City,1,RICHMOND,GORDON JAMES LLC,THE FLAGSHIP BREWING COMPANY,38-40 MINTHORNE ST,,STATEN ISLAND,NY,10301,999999,5/29/2018,3/1/2019,2/28/2022,40.63715,-74.07552,"(40.63715, -74.07552)"
1316355,MICRO BREWER,101,MI,New York City,1,RICHMOND,CRAFT HOUSE INC,CRAFT HOUSE AND KILLS BORO,60 62 VAN DUZER ST,,STATEN ISLAND,NY,10301,904240,6/13/2019,6/13/2019,5/31/2020,0,0,"(0.0, 0.0)"
1275343,MICRO BREWER,101,MI,New York City,1,RICHMOND,GORDON JAMES LLC,THE FLAGSHIP BREWING COMPANY,38-40 MINTHORNE ST,,STATEN ISLAND,NY,10301,999999,3/14/2014,3/1/2019,2/28/2022,40.63675115,-74.07557869,"(40.63675115, -74.07557869)"
1306439,WINERY,301,DW,New York City,1,RICHMOND,RLRA LLC,VINO DI VINO,42 INDUSTRIAL LOOP,1ST FLOOR BAYS 1 & 2,STATEN ISLAND,NY,10309,897711,12/29/2017,12/29/2017,11/30/2020,40.54753,-74.22952,"(40.54753, -74.22952)"
2206703,FARM BREWER,106,FD,Albany,2,ROCKLAND,SPECTACLE BREWING LLC,INDUSTRIAL ARTS BREWING CO,55 W RAILROAD AVE,BUILDINGS 3A/3D & 25W,GARNERVILLE,NY,10923,999999,3/10/2017,4/1/2018,3/31/2021,41.208,-73.99166,"(41.208, -73.99166)"
2211390,FARM BREWER,106,FD,Albany,2,ROCKLAND,THREEFOLD HOLDINGS LLC,THREES BREWING,55 W RAILROAD AVE,BUILDINGS 3A/3D & 25W,GARNERVILLE,NY,10923,882856,5/11/2018,5/1/2019,4/30/2021,41.208,-73.99166,"(41.208, -73.99166)"
2176928,FARM WINERY,302,FW,Albany,2,ROCKLAND,TORNE VALLEY VINEYARDS LLC,TORNE VALLEY VINEYARDS LLC,3 TORNE BROOK RD,,HILLBURN,NY,10931,918904,8/23/2012,8/1/2019,7/31/2022,41.14063801,-74.16588414,"(41.14063801, -74.16588414)"
2207038,MICRO BREWER,101,MI,Albany,2,ROCKLAND,GENTLE GIANT BREWING COMPANY LLC,GENTLE GIANT BREWING COMPANY,5-7 N MAIN ST,,PEARL RIVER,NY,10965,915490,4/21/2017,5/14/2019,3/31/2020,0,0,"(0.0, 0.0)"
2202999,MICRO BREWER,101,MI,Albany,2,ROCKLAND,SPECTACLE BREWING LLC,INDUSTRIAL ARTS BREWING CO,55 W RAILROAD AVE,BUILDINGS 3A/3D & 25W,GARNERVILLE,NY,10923,999999,7/1/2016,4/1/2018,3/31/2021,41.208,-73.99166,"(41.208, -73.99166)"
2188166,MICRO BREWER,101,MI,Albany,2,ROCKLAND,ANDEAN BREWING COMPANY INC,,300 CORPORATE DR,SUITE 2,BLAUVELT,NY,10913,911368,1/24/2013,1/1/2019,12/31/2019,,,
2133097,MICRO BREWER,101,MI,Albany,2,ROCKLAND,KETTLE KREATIONS LLC,THE DEFIANT BREWING COMPANY,6 E DEXTER PLAZA,,PEARL RIVER,NY,10965,907693,9/6/2006,9/1/2018,8/31/2019,41.06022361,-74.02307473,"(41.06022361, -74.02307473)"
2211389,MICRO BREWER,101,MI,Albany,2,ROCKLAND,THREEFOLD HOLDINGS LLC,THREES BREWING,55 W RAILROAD AVE,BUILDINGS 3A/3D & 25W,GARNERVILLE,NY,10923,882855,5/11/2018,5/1/2019,4/30/2021,41.208,-73.99166,"(41.208, -73.99166)"
2206614,RESTAURANT BREWER,210,MR,Albany,2,ROCKLAND,XX BURGER COMPANY INC,THE BURGER LOFT/DISTRICT 96,389-395 S MAIN ST,,NEW CITY,NY,10956,865244,4/4/2017,4/4/2017,3/31/2020,0,0,"(0.0, 0.0)"
2198202,"DISTILLER ""A-1""",206,DA,Albany,2,SARATOGA,YANKEE DISTILLERS LLC,,5 FAIRCHILD SQAURE,,CLIFTON PARK,NY,12065,898175,4/16/2015,4/6/2018,3/31/2021,0,0,"(0.0, 0.0)"
